City,Median Age,Male Population,Female Population,Total Population,State
Denver,34.1,341137,341408,682545,CO
Provo,23.6,56231,59027,115258,UT
Birmingham,35.6,102122,112789,214911,AL
Greeley,31.0,50792,50091,100883,CO
Tustin,33.4,39511,41052,80563,CA
Fort Wayne,34.7,124815,133329,258144,IN
Shawnee,40.1,32313,32745,65058,KS
Bethlehem,35.1,35861,38506,74367,PA
Muncie,27.4,32446,37255,69701,IN
Sparks,36.1,47780,48318,96098,NV
Rialto,31.6,49902,53235,103137,CA
Pomona,32.1,74945,78307,153252,CA
Kenosha,36.3,49349,50507,99856,WI
Racine,33.7,39314,38423,77737,WI
Garden Grove,37.8,86779,88605,175384,CA
Detroit,34.8,319265,357859,677124,MI
Mountain View,33.5,42493,37945,80438,CA
Union City,35.4,35376,33773,69149,NJ
New Britain,33.4,37350,35459,72809,CT
Kenner,36.9,33993,33113,67106,LA
Allen,33.5,60626,59581,120207,PA
Pleasanton,41.3,36662,42857,79519,CA
Gulfport,35.1,33108,38764,71872,MS
Wilmington,35.5,52346,63601,115947,NC
Escondido,33.3,76551,74907,151458,CA
Edinburg,29.3,39422,45079,84501,TX
Brandon,36.1,55679,58289,113968,FL
Kendall,40.2,36658,39808,76466,FL
Saint Charles,34.9,32054,36747,68801,MO
Danbury,37.3,43435,41227,84662,CT
Cleveland,36.0,186436,201623,388059,OH
Thornton,33.1,65482,67977,133459,CO
Columbia,28.0,67686,65707,133393,SC
Enterprise,34.1,69146,66328,135474,NV
Houston,32.6,1149686,1148942,2298628,TX
Oceanside,39.4,87482,88232,175714,CA
Orange,35.0,67337,73658,140995,CA
Pittsburg,34.5,33309,36118,69427,CA
Carlsbad,42.1,55119,58347,113466,CA
Silver Spring,33.8,40601,41862,82463,MD
Corpus Christi,35.0,160488,163594,324082,TX
Montgomery,35.4,94582,106004,200586,AL
Beaverton,35.6,47325,49252,96577,OR
Wichita Falls,34.0,55775,48934,104709,TX
Boynton Beach,45.8,33701,40271,73972,FL
San Marcos,35.4,45246,47688,92934,CA
Champaign,28.7,43326,42760,86086,IL
Pueblo,37.6,55635,53784,109419,CO
Sugar Land,42.1,43889,44240,88129,TX
North Las Vegas,32.2,116350,118443,234793,NV
Fayetteville,27.1,41959,40873,82832,AR
